Id;Semestre;Latitud;Longitud;Edad;Sexo;Carrera;Alimentador;CodigoPostalCasa
A00000456;202410;-0.1629929;-78.4593908;38;M;TECNOLOGIAS DE LA INFORMACION;NULL;100157
A00000456;202420;-0.0786033;-78.4199542;38;M;TECNOLOGIAS DE LA INFORMACION;NULL;100157
A00000456;202510;-0.3640350;-78.4303950;38;M;TECNOLOGIAS DE LA INFORMACION;Alangasí 26A;100157
A00000469;202410;-0.1679661;-78.4726727;31;F;DERECHO;NULL;100401
A00000469;202420;-0.1692549;-78.4730214;31;F;DERECHO;NULL;100401
A00000469;202510;-0.0483653;-78.4481698;31;F;DERECHO;San Antonio 22D;100401
A00000512;202410;-0.3143175;-78.4451036;32;M;INGENIERIA DE SOFTWARE;NULL;170186
A00000512;202420;-0.2546165;-78.5276942;32;M;INGENIERIA DE SOFTWARE;NULL;170186
A00000560;202410;-0.1660105;-78.4650741;29;M;FINANZAS;NULL;170101
A00000560;202420;-0.1633463;-78.4591535;29;M;FINANZAS;NULL;170101
A00000571;202410;-0.1635662;-78.4593451;33;F;MEDICINA;NULL;170106
A00000571;202420;-0.1797812;-78.4784826;33;F;MEDICINA;NULL;170106
A00000571;202510;-0.2877054;-78.4651660;33;F;MEDICINA;Conocoto 23D;170106
A00000643;202410;-0.2020221;-78.4849985;34;M;DERECHO;NULL;170117
A00000677;202410;-0.1850699;-78.4919184;25;M;ODONTOLOGIA;NULL;100101
A00000701;202410;-0.1838529;-78.4803265;25;M;GESTION DEPORTIVA;NULL;100401
A00000701;202510;-0.1757510;-78.4792389;25;M;NEGOCIOS DEPORTIVOS;Iñaquito 28B;100401
A00000705;202410;-0.2326924;-78.4365094;26;M;DERECHO;NULL;170101
A00000705;202420;-0.2311185;-78.4361939;26;M;DERECHO;NULL;170101
A00000705;202510;-0.1873734;-78.4818734;26;M;DERECHO;Olímpico 01C;170101
A00000731;202410;-0.1680238;-78.4726277;26;M;ARQUITECTURA;NULL;100157
A00000758;202410;-0.5090972;-78.5673221;26;F;MEDICINA VETERINARIA;NULL;170186
A00000787;202410;-0.2178136;-78.5070009;27;F;PSICOLOGIA;NULL;100157
A00000816;202410;-0.1633328;-78.4591701;35;M;ADMINISTRACION DE EMPRESAS;NULL;100157
A00000817;202410;-0.1992599;-78.4810134;25;M;DERECHO;NULL;100103
A00000817;202420;-0.1836452;-78.4929292;25;M;DERECHO;NULL;100103
A00000817;202510;-0.1970583;-78.4932196;25;M;DERECHO;Pérez Guerrero 53E;100103
A00000859;202410;-0.2026068;-78.4851532;24;M;ODONTOLOGIA;NULL;170117
A00000859;202420;-0.2022691;-78.4849937;24;M;ODONTOLOGIA;NULL;170117
A00000933;202410;-0.2033064;-78.4845830;28;M;ODONTOLOGIA;NULL;100401
A00000933;202420;-0.2022858;-78.4849577;28;M;ODONTOLOGIA;NULL;100401
A00000937;202410;-0.1633342;-78.4591883;24;F;MEDICINA;NULL;100157
A00000937;202420;-0.1633599;-78.4593500;24;F;MEDICINA;NULL;100157
A00000937;202510;-0.1814283;-78.4753859;24;F;MEDICINA;Olímpico 01C;100157
A00000955;202410;-0.1850132;-78.4885549;30;M;MEDICINA;NULL;170101
A00000955;202420;-0.2443057;-78.5409949;30;M;MEDICINA;NULL;170101
A00001068;202410;-0.1633817;-78.4592517;29;F;PSICOLOGIA;NULL;100202
A00001095;202410;-0.1976011;-78.4806720;24;F;DERECHO;NULL;040102
A00001151;202410;-0.1628445;-78.4591439;25;F;FISIOTERAPIA;NULL;100202
A00001155;202410;-0.1631788;-78.4589449;25;F;PSICOLOGIA;NULL;100157
A00001155;202420;-0.1631277;-78.4594430;25;F;PSICOLOGIA;NULL;100157
A00001155;202510;-0.1634972;-78.4594721;25;F;PSICOLOGIA;Gualo 14E;100157
A00001166;202410;-0.1790826;-78.4808416;26;M;ADMINISTRACION DE EMPRESAS;NULL;100103
A00001193;202410;-0.1633475;-78.4589212;26;F;MEDICINA;NULL;100101
A00001193;202420;-0.1711464;-78.4885130;26;F;MEDICINA;NULL;100101
A00001193;202510;-0.2175443;-78.4017458;26;F;MEDICINA;Gualo 14E;100101
A00001201;202410;-0.1892393;-78.4765297;23;F;MEDICINA;NULL;100101
A00001201;202420;-0.1633153;-78.4594171;23;F;MEDICINA;NULL;100101
A00001201;202510;-0.2155001;-78.4988339;23;F;MEDICINA;Diez Vieja 10C;100101
A00001215;202410;-0.3233343;-78.4311061;27;M;MEDICINA VETERINARIA;NULL;170114
A00001215;202420;-0.1635550;-78.4586673;27;M;MEDICINA VETERINARIA;NULL;170114
A00001253;202410;-0.1679558;-78.4725309;28;M;ARQUITECTURA;NULL;100104
A00001253;202420;-0.1679266;-78.4726908;28;M;ARQUITECTURA;NULL;100104
A00001297;202410;-0.2289693;-78.4848266;24;F;MEDICINA;NULL;100157
A00001339;202410;-0.1622635;-78.4618842;36;M;ENFERMERIA;NULL;170102
A00001339;202420;-0.3372587;-78.4406707;36;M;ENFERMERIA;NULL;170102
A00001369;202410;-0.1634122;-78.4593664;24;M;PSICOLOGIA;NULL;170256
A00001369;202420;-0.1631191;-78.4584895;24;M;PSICOLOGIA;NULL;170256
A00001369;202510;-0.1634535;-78.4587481;24;M;PSICOLOGIA;Gualo 14E;170256
A00001377;202410;-0.2075958;-78.4837825;25;F;RELACIONES INTERNACIONALES;NULL;100157
A00001377;202420;-0.3146236;-78.4437038;25;F;RELACIONES INTERNACIONALES;NULL;100157
A00001385;202410;-0.1977786;-78.4905825;31;M;GESTION DEPORTIVA;NULL;170102
A00001385;202420;-0.2037276;-78.4853189;31;M;GESTION DEPORTIVA;NULL;170102
A00001385;202510;-0.1726502;-78.5014731;31;M;GESTION DEPORTIVA;Gualo 14E;170102
A00001390;202410;-0.1681009;-78.4729125;31;F;AGROINDUSTRIA;NULL;170105
A00001390;202420;-0.1679792;-78.4727036;31;F;AGROINDUSTRIA;NULL;170105
A00001390;202510;-0.1635251;-78.4585893;31;F;AGROINDUSTRIA;Gualo 14E;170105
A00001426;202410;-0.1850132;-78.4885549;26;M;MEDICINA;NULL;100401
A00001426;202420;-0.1797812;-78.4784826;26;M;MEDICINA;NULL;100401
A00001428;202410;-0.1632585;-78.4590004;24;F;MEDICINA VETERINARIA;NULL;170155
A00001428;202420;-0.1634968;-78.4585762;24;F;MEDICINA VETERINARIA;NULL;170155
A00001507;202410;-0.1918188;-78.4795410;29;M;MEDICINA;NULL;100301
A00001507;202420;-0.1919078;-78.4795999;29;M;MEDICINA;NULL;100301
A00001514;202410;-0.1628386;-78.4591230;25;M;INGENIERÍA INDUSTRIAL;NULL;100104
A00001516;202410;-0.1632805;-78.4590275;30;F;PSICOLOGIA;NULL;170106
A00001516;202420;-0.1631734;-78.4596129;30;F;PSICOLOGIA;NULL;170106
A00001559;202410;-0.1631671;-78.4589516;25;M;NEGOCIOS INTERNACIONALES;NULL;100104
A00001638;202410;-0.5090972;-78.5673221;24;M;MEDICINA VETERINARIA;NULL;100104
A00001642;202410;-0.2424728;-78.5255437;29;M;BIOTECNOLOGÍA;NULL;100103
A00001642;202420;-0.1631464;-78.4593792;29;M;BIOTECNOLOGÍA;NULL;100103
A00001642;202510;-0.2589912;-78.4536838;29;M;BIOTECNOLOGÍA;Gualo 14E;100103
A00001674;202410;-0.3081617;-78.4901409;24;M;FISIOTERAPIA;NULL;100157
A00001674;202420;-0.1632048;-78.4595049;24;M;FISIOTERAPIA;NULL;100157
A00001674;202510;-0.1597137;-78.4493657;24;M;FISIOTERAPIA;Gualo 14E;100157
A00001717;202410;-0.1679188;-78.4726739;30;F;DERECHO;NULL;170121
A00001717;202420;-0.1977978;-78.4390379;30;F;DERECHO;NULL;170121
A00001717;202510;-0.1970583;-78.4932196;30;F;DERECHO;Pérez Guerrero 53E;170121
A00001723;202410;-0.1974221;-78.4482817;25;M;PSICOLOGIA;NULL;100104
A00001723;202420;-0.1698552;-78.4778249;25;M;PSICOLOGIA;NULL;100104
A00001723;202510;-0.1697067;-78.4778309;25;M;PSICOLOGIA;Río Coca 16A;100104
A00001766;202410;-0.1559132;-78.4880612;35;M;NEGOCIOS INTERNACIONALES;NULL;100401
A00001766;202420;-0.1633941;-78.4593423;35;M;NEGOCIOS INTERNACIONALES;NULL;100401
A00001786;202410;-0.1845160;-78.4882785;26;M;CIBERSEGURIDAD;NULL;100101
A00001802;202410;-0.1680535;-78.4726624;27;F;ENFERMERIA;NULL;170108
A00001802;202420;-0.1634237;-78.4592224;27;F;ENFERMERIA;NULL;170108
A00001802;202510;-0.1631558;-78.4593265;27;F;ENFERMERIA;Gualo 14E;170108
A00001872;202410;-0.2252437;-78.5078482;25;F;ARQUITECTURA;NULL;100103
A00001885;202410;-0.1678836;-78.4725234;29;M;SONIDO Y ACÚSTICA;NULL;100401
A00001885;202420;-0.1673286;-78.4726023;29;M;SONIDO Y ACÚSTICA;NULL;100401
A00001915;202420;-0.2084539;-78.4850143;27;F;PSICOLOGIA;NULL;100101
A00001915;202510;-0.1632881;-78.4592984;27;F;PSICOLOGIA;Gualo 14E;100101
A00001946;202410;-0.1628788;-78.4594043;25;M;MEDICINA VETERINARIA;NULL;100103
A00001946;202420;-0.1635290;-78.4586476;25;M;MEDICINA VETERINARIA;NULL;100103
A00001946;202510;-0.3233483;-78.4311307;25;M;MEDICINA VETERINARIA;San Rafael 27D;100103
A00001958;202410;-0.1633817;-78.4592517;24;F;PSICOLOGIA;NULL;100101
A00001958;202420;-0.1988231;-78.4361086;24;F;PSICOLOGIA;NULL;100101
A00002025;202410;-0.1635232;-78.4585815;24;F;MEDICINA;NULL;100157
A00002025;202420;-0.1797812;-78.4784826;24;F;MEDICINA;NULL;100157
A00002082;202410;-0.1630791;-78.4595845;27;F;MEDICINA;NULL;100401
A00002082;202420;-0.1633153;-78.4594171;27;F;MEDICINA;NULL;100401
A00002082;202510;-0.2155001;-78.4988339;27;F;MEDICINA;Diez Vieja 10C;100401
A00002083;202410;-0.1674306;-78.4726233;26;F;ARQUITECTURA;NULL;100104
A00002083;202420;-0.1747219;-78.4928548;26;F;ARQUITECTURA;NULL;100104
A00002083;202510;-0.1878554;-78.4773942;26;F;ARQUITECTURA;Olímpico 01D;100104
A00002150;202410;-0.2063920;-78.4957020;24;M;DERECHO;NULL;100103
A00002150;202420;-0.1836534;-78.4929288;24;M;DERECHO;NULL;100103
A00002155;202410;-0.1932099;-78.4782319;26;M;RELACIONES INTERNACIONALES;NULL;100358
A00002155;202420;-0.1675824;-78.4725652;26;M;RELACIONES INTERNACIONALES;NULL;100358
A00002155;202510;-0.1837050;-78.4774166;26;M;RELACIONES INTERNACIONALES;Olímpico 01D;100358
A00002183;202410;-0.2194109;-78.3874679;27;M;DERECHO;NULL;100401
A00002183;202420;-0.2088624;-78.4376156;27;M;DERECHO;NULL;100401
A00002183;202510;-0.1952215;-78.4799703;27;M;DERECHO;La Floresta 12B;100401
A00002184;202410;-0.2063920;-78.4957020;28;M;DERECHO;NULL;100101
A00002184;202420;-0.1992290;-78.4809967;28;M;DERECHO;NULL;100101
A00002184;202510;-0.2996633;-78.4984436;28;M;DERECHO;Conocoto 23A;100101
A00002206;202410;-0.1633113;-78.4591785;26;F;MEDICINA VETERINARIA;NULL;100101
A00002206;202420;-0.1630869;-78.4596446;26;F;MEDICINA VETERINARIA;NULL;100101
A00002228;202410;-0.2414278;-78.5119965;27;M;ODONTOLOGIA;NULL;100103
A00002228;202510;-0.2020637;-78.4848691;27;M;ODONTOLOGIA;Diez Nueva 32B;100103
A00002238;202410;-0.1466723;-78.4529247;27;M;ARTES MUSICALES;NULL;100104
A00002238;202420;-0.2166688;-78.3732623;27;M;ARTES MUSICALES;NULL;100104
A00002238;202510;-0.2089620;-78.4141078;27;M;ARTES MUSICALES;Tumbaco 36D;100104
A00002240;202410;-0.2027897;-78.4849480;24;F;ODONTOLOGIA;NULL;100103
A00002274;202410;-0.1685418;-78.4755912;27;F;ARQUITECTURA;NULL;100104
A00002274;202420;-0.1880069;-78.4806134;27;F;ARQUITECTURA;NULL;100104
A00002274;202510;-0.1677474;-78.4725902;27;F;ARQUITECTURA;Río Coca 16B;100104
